capacity_group,model_name,fusion_variant,param_count,mae,rmse,pearson,spearman,gate_source_mean,gate_temporal_mean,gate_structure_mean
default,affect_state_forecaster,full,5417259,0.10519883036613464,0.1745268702507019,-0.20580414210080983,-0.07548558645422913,1.0,1.0,1.0
default,affect_state_forecaster,source_gate_only,5417259,0.10437949746847153,0.17360319197177887,-0.23546322669038938,-0.03642074940255353,0.49931245621131815,1.0,1.0
default,affect_state_forecaster,vector_gate,5417259,0.09491880983114243,0.17650443315505981,-0.2357094750787128,0.05721734451484027,0.5016453415155411,0.5000251457095146,0.4870551118384237
default,structure_baseline,full,2595076,0.13394805788993835,0.19480757415294647,-0.24220471961087003,0.07177318056303753,,,
matched,affect_state_forecaster,full,2634355,0.12483000010251999,0.17552730441093445,-0.13103678458864573,-0.013024579901230947,1.0,1.0,1.0
matched,affect_state_forecaster,source_gate_only,2634355,0.12440022081136703,0.17448574304580688,0.001168143840800753,-0.05295297419857942,0.48562893692566,1.0,1.0
matched,affect_state_forecaster,vector_gate,2634355,0.13866934180259705,0.18301165103912354,-0.18987114710771597,-0.028506291759221803,0.5058481032433717,0.5016738801546718,0.5213291120270024
matched,structure_baseline,full,2595076,0.13394805788993835,0.19480757415294647,-0.24220471961087003,0.07177318056303753,,,
